household_ID,district,subvillage,village,ward,Intervention,campaign_type,dog_total,cp_travel_time_there,cp_duration
HS1642,2,127,43,11,1,continuous,1,15,45
HS1644,2,127,43,11,1,continuous,11,15,60
HS1647,2,127,43,11,1,continuous,2,15,120
HS1657,2,124,42,11,1,continuous,2,30,60
HS1660,2,124,42,11,1,continuous,2,30,30
HS1662,2,125,42,11,1,continuous,2,20,60
HS1664,2,125,42,11,1,continuous,4,20,120
HS1666,2,125,42,11,1,continuous,3,20,45
HS1669,2,125,42,11,1,continuous,2,30,120
HS1674,2,126,42,11,1,continuous,2,20,30
HS1676,2,126,42,11,1,continuous,8,30,120
HS1681,2,122,40,11,1,continuous,3,10,60
HS1685,2,122,40,11,1,continuous,5,15,60
HS1690,2,122,40,11,1,continuous,3,10,60
HS1691,2,33,40,11,1,continuous,2,10,10
HS1692,2,33,40,11,1,continuous,2,10,60
HS1693,2,33,40,11,1,continuous,3,10,60
HS1700,2,33,40,11,1,continuous,6,15,45
HS1707,2,119,40,11,1,continuous,4,30,60
HS1716,2,114,38,11,1,continuous,2,20,60
HS1721,2,116,38,11,1,continuous,2,10,45
HS1722,2,116,38,11,1,continuous,1,10,20
HS1724,2,116,38,11,1,continuous,2,15,25
HS1725,2,116,38,11,1,continuous,1,15,20
HS1729,2,116,38,11,1,continuous,2,10,60
HS1732,2,117,38,11,1,continuous,2,60,180
HS1733,2,117,38,11,1,continuous,4,30,120
HS1739,2,117,38,11,1,continuous,2,20,120
HS1750,2,112,36,10,0,pulse,4,15,30
HS1754,1,96,32,9,3,continuous,2,5,5
HS1756,1,96,32,9,3,continuous,4,10,30
HS1761,1,97,32,9,3,continuous,3,10,20
HS1762,1,97,32,9,3,continuous,4,2,15
HS1763,1,97,32,9,3,continuous,1,3,120
HS1765,1,97,32,9,3,continuous,2,20,30
HS1766,1,97,32,9,3,continuous,1,20,10
HS1771,1,98,32,9,3,continuous,2,20,60
HS1776,1,98,32,9,3,continuous,1,7,30
HS1782,1,102,34,9,3,continuous,9,10,5
HS1786,1,102,34,9,3,continuous,1,10,30
HS1787,1,102,34,9,3,continuous,1,20,10
HS1792,1,107,34,9,3,continuous,3,5,4
HS1793,1,107,34,9,3,continuous,1,10,4
HS1794,1,107,34,9,3,continuous,2,20,2
HS1800,1,105,34,9,3,continuous,1,5,4
HS1801,1,105,34,9,3,continuous,1,30,30
HS1803,1,105,34,9,3,continuous,1,15,4
HS1804,1,105,34,9,3,continuous,1,10,10
HS1805,1,105,34,9,3,continuous,2,10,8
HS1808,1,105,34,9,3,continuous,1,15,4
HS1815,1,109,37,9,3,continuous,2,6,10
HS1819,1,109,37,9,3,continuous,1,5,8
HS1822,1,111,37,9,3,continuous,1,30,2
HS1826,1,111,37,9,3,continuous,3,60,10
HS1832,1,115,39,9,3,continuous,1,30,20
HS1839,1,113,37,9,3,continuous,1,1,2
HS1841,1,113,37,9,3,continuous,1,2,2
HS1842,1,113,37,9,3,continuous,2,25,15
HS1844,1,113,37,9,3,continuous,1,4,3
HS1845,1,113,37,9,3,continuous,1,30,20
HS1847,1,120,41,9,3,continuous,1,5,5
HS1850,1,115,39,9,3,continuous,2,20,30
HS1853,1,115,39,9,3,continuous,1,7,3
HS1855,1,15,39,9,3,continuous,5,10,10
HS1856,1,15,39,9,3,continuous,2,5,30
HS1858,1,15,39,9,3,continuous,2,4,20
HS1868,1,118,39,9,3,continuous,2,30,5
HS1871,1,118,39,9,3,continuous,3,30,20
HS1884,1,123,41,9,3,continuous,2,3,20
HS1886,1,121,41,9,3,continuous,1,30,5
HS1898,1,120,41,9,3,continuous,1,8,2
HS1899,1,120,41,9,3,continuous,1,3,5
HS1900,1,120,41,9,3,continuous,4,1,3
HS1901,1,120,41,9,3,continuous,2,5,2
SH0871,0,68,23,0,0,pulse,2,30,180
SH1001,1,89,29,1,2,continuous,2,15,20
SH1002,1,89,29,1,2,continuous,1,60,120
SH1004,1,89,29,1,2,continuous,1,10,5
SH1005,1,89,29,1,2,continuous,2,2,30
SH1006,1,89,29,1,2,continuous,1,20,30
SH1007,1,89,29,1,2,continuous,3,2,10
SH1012,1,92,29,1,2,continuous,1,40,2
SH1020,1,93,31,1,2,continuous,2,15,5
SH1021,1,93,31,1,2,continuous,1,10,5
SH1022,1,93,31,1,2,continuous,3,5,30
SH1023,1,93,31,1,2,continuous,1,5,5
SH1028,1,93,31,1,2,continuous,1,2,15
SH1030,1,94,31,1,2,continuous,2,20,30
SH1031,1,94,31,1,2,continuous,1,10,5
SH1033,1,94,31,1,2,continuous,1,10,60
SH1035,1,94,31,1,2,continuous,2,5,30
SH1039,1,95,31,1,2,continuous,3,10,180
