household_ID,campaign_type,Strategy,RegionName.y,district,ward,village,sub_village,dog_total,number_dogs_seen,owner_recall_vacc,owner_recall_vacc_no,owner_recall_not_vacc_no,vacc_card_status,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,,variable,meaning
RCT0763,continuous,2,Mara,2,8,30,39,2,2,1,2,0,1,2,NA,no,2,,,
RCT0762,continuous,2,Mara,2,8,30,39,1,1,1,1,0,1,1,NA,no,1,,,
RCT0761,continuous,2,Mara,2,8,30,39,3,3,1,2,1,1,2,NA,no,2,,,
RCT0780,continuous,2,Mara,2,8,44,70,1,1,1,1,0,1,1,NA,no,1,,,
RCT0779,continuous,2,Mara,2,8,44,70,9,9,1,3,6,1,3,NA,no,3,,,
RCT0778,continuous,2,Mara,2,8,44,70,7,7,1,2,5,1,2,NA,no,2,,,
RCT0777,continuous,2,Mara,2,8,44,70,2,2,1,2,0,1,2,NA,no,2,,,
RCT0776,continuous,2,Mara,2,8,44,70,2,2,1,1,1,1,1,NA,no,1,,,
RCT0775,continuous,2,Mara,2,8,44,70,2,2,1,2,0,1,2,NA,no,2,,,
RCT0774,continuous,2,Mara,2,8,44,70,1,1,1,1,0,0,1,NA,no,1,,,
RCT0773,continuous,2,Mara,2,8,44,70,1,1,1,1,0,unknown,1,NA,no,1,,,
RCT0772,continuous,2,Mara,2,8,44,70,2,2,1,2,0,1,0,NA,no,2,,,
RCT0771,continuous,2,Mara,2,8,44,70,3,3,1,2,1,1,2,NA,no,2,,,
RCT0790,continuous,2,Mara,2,8,44,51,4,4,1,3,1,1,3,NA,no,3,,,
RCT0789,continuous,2,Mara,2,8,44,51,2,2,1,2,0,1,2,NA,no,2,,,
RCT0788,continuous,2,Mara,2,8,44,51,6,4,1,4,2,1,4,NA,no,4,,,
RCT0787,continuous,2,Mara,2,8,44,51,1,1,0,NA,1,,0,NA,,NA,,,
RCT0786,continuous,2,Mara,2,8,44,51,3,3,1,3,0,1,3,NA,no,3,,,
RCT0785,continuous,2,Mara,2,8,44,51,1,1,1,1,0,1,1,NA,no,1,,,
RCT0784,continuous,2,Mara,2,8,44,51,3,3,1,2,1,1,2,NA,no,2,,,
